actual_position,raw_text,clean_text,confidence,parse_ok,status,reason,recommended_position,red_box,crop_box,crop_path
1,D669.3/L,D669.3/L,0.9914,True,green,排序正确,2,"[0, 977, 8, 142]","[123, 977, 44, 142]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_002.jpg
2,D669.3,D669.3,0.9498,True,green,排序正确,3,"[0, 969, 8, 152]","[214, 969, 37, 152]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_001.jpg
3,D669.3/L,D669.3/L,0.9906,True,green,排序正确,4,"[0, 992, 8, 124]","[260, 992, 36, 124]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_004.jpg
4,D669.3/1,D669.3/1,0.9941,True,green,排序正确,5,"[0, 989, 8, 129]","[313, 989, 43, 129]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_003.jpg
5,D669.3,D669.3,0.9384,True,green,排序正确,6,"[0, 1009, 8, 104]","[359, 1009, 35, 104]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_006.jpg
6,D669.3,D669.3,0.9959,True,green,排序正确,7,"[0, 1006, 8, 108]","[444, 1006, 38, 108]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_005.jpg
7,D669.3,D669.3,0.9631,True,green,排序正确,8,"[0, 1013, 8, 99]","[542, 1013, 35, 99]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_007.jpg
8,D669,D669,0.9974,True,green,排序正确,9,"[0, 1033, 8, 73]","[600, 1033, 36, 73]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_014.jpg
9,D669,D669,0.9922,True,green,排序正确,10,"[0, 1028, 8, 78]","[644, 1028, 37, 78]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_011.jpg
10,D669,D669,0.9973,True,green,排序正确,11,"[0, 1024, 8, 73]","[720, 1024, 34, 73]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_008.jpg
11,D669,D669,0.9937,True,green,排序正确,12,"[0, 1026, 8, 75]","[748, 1026, 35, 75]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_009.jpg
12,D669,D669,0.9945,True,green,排序正确,13,"[0, 1034, 8, 73]","[845, 1034, 36, 73]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_016.jpg
13,D669,D669,0.9953,True,green,排序正确,14,"[0, 1036, 8, 70]","[892, 1036, 37, 70]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_018.jpg
14,D669,D669,0.9978,True,green,排序正确,15,"[0, 1037, 8, 69]","[930, 1037, 37, 69]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_019.jpg
15,D669,D669,0.9927,True,green,排序正确,16,"[0, 1028, 8, 78]","[985, 1028, 38, 78]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_012.jpg
16,D669,D669,0.9950,True,green,排序正确,17,"[0, 1027, 8, 79]","[1037, 1027, 36, 79]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_010.jpg
17,D669,D669,0.9946,True,green,排序正确,18,"[0, 1038, 8, 68]","[1080, 1038, 39, 68]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_020.jpg
18,D66,D66,0.9983,True,red,推荐位置应为 1,1,"[0, 1049, 8, 54]","[1239, 1049, 37, 54]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_022.jpg
19,D669,D669,0.9950,True,green,排序正确,19,"[0, 1038, 8, 68]","[1295, 1038, 39, 68]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_021.jpg
20,D669,D669,0.9959,True,green,排序正确,20,"[0, 1028, 8, 78]","[1359, 1028, 36, 78]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_013.jpg
21,D669,D669,0.9949,True,green,排序正确,21,"[0, 1034, 8, 73]","[1405, 1034, 40, 73]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_017.jpg
22,D669,D669,0.9952,True,green,排序正确,22,"[0, 1033, 8, 74]","[1465, 1033, 37, 74]",D:\个人\university\2026spring\lib\upload\stage5_mobile_results\results\d7430fe93a554f80_IMG20260517094656__web_calib20260517_standard\crops\ocr_crop_015.jpg
